no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
37.0,Bulan 1,22/06/26,BTCUSD,Reversal Batas,SELL,H1,,0.01,63879.94,64465.12,63105.62,5.8518,7.7432,1.323216788,LOSS,,0,585.18,0,594.6,0,Tenang,area support sudah ngebreakouat dan sudah nyentuh area resitennya,sudah ngerbreakout resitenya ,https://drive.google.com/file/d/190pDnCQrlD57V8D9LKfWI4DM970ev_h0/view?usp=drivesdk
38.0,Bulan 1,22/06/26,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4210.36,4182.938,425314.0,27.422,421103.64,15356.41602,LOSS,,0,274.22,0,594.6,0,Percaya Diri,area resisten sudah ke breakout ,taro sl  bukan di strongnya ,https://drive.google.com/file/d/1mMY0LpDIa9GoL0IY7JhCyXInGH7ebbA5/view?usp=drivesdk
39.0,Bulan 1,22/06/26,BTCUSD,Reversal Batas,BUY,H1,,0.01,64032.97,63709.61,64707.75,3.2336,6.7478,2.086776348,WIN,,0,-674.78,0,594.6,0,Tenang,area resisten sudah ke breakout dan sudah di area suppostnya,sesuai metodenya ,https://drive.google.com/file/d/1Udq0QAWJ1k5cRyavFu5y0Ey6H5l_BaQF/view?usp=drivesdk
40.0,Bulan 1,22/06/26,XAUUSD,Reversal Batas,BUY,H1,,0.01,4182.959,4159.801,4240344.0,23.158,4236161.041,182924.3044,LOSS,,0,231.58,0,594.6,0,Tenang,area resisten sudah ke breakout dan sudah di area suppostnya,entry langsung masuk bukan di area support yang strong jika menggukan revesal metodenya trend nya masih kuat naik ,https://drive.google.com/file/d/1o90O61f5lyJ4kJXmh79FaiY6tSkP6w5K/view?usp=drivesdk
41.0,Bulan 1,2026-06-22 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,64613.43,64077.87,65378.73,,,,WIN,,,,0,594.6,0,Percaya Diri,area resisten sudah ke breakout ,sesuai dengan metode nya ,https://drive.google.com/file/d/1C8g4lJUxBneSZibRO35S0ylRnBMG7h_Z/view?usp=drivesdk
42.0,Bulan 1,2026-06-22 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,64714.23,64298.46,66544.60,,,,LOSS,,,,0,594.6,0,Tenang,area sudah ngbreakot resisten dan kembali ke support ,broker market meker seharusnya profit nih loss,https://drive.google.com/file/d/1CqfHAHtlaaHHu5n8J43FREoMRo0wp9gL/view?usp=drivesdk
43.0,Bulan 1,2026-06-23 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,63888.27,63137.39,65455.29,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area momentumnya sesuai dengan metodenya ,jadi fokus ke satu metodenya ajh,
44.0,Bulan 1,2026-06-23 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4159767.0,4135635.0,4215603.0,24132,55836,2.313774242,LOSS,,0,241320,0,594.6,0,Tenang,sudah di area momentumnya sesuai dengan metodenya ,SL bukan di area strong entry terlalu atas jadi harus sabar atau taro SL nya di strong ,https://drive.google.com/file/d/1EhYdj58VTKBX8EFt7DidOJ4SKc6T4H7I/view?usp=drivesdk
45.0,Bulan 1,23/06/26,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4121.996,4152.833,4061.601,30.837,60.395,1.958523851,WIN,,0,-603.95,0,594.6,0,Tenang,area support sudah ngebreakouat  ,sesuai dengan trendnya ,https://drive.google.com/file/d/1wIoGP0kFYdtJTWPBYySbNt4llcacnSYt/view?usp=drivesdk
46.0,Bulan 1,23/06/26,BTCUSD,Reversal Batas,SELL,H1,,0.01,62487.96,62908.88,61821.53,4.2092,6.6643,1.58326998,LOSS,,0,420.92,0,594.6,0,Tenang,mengikutin trendnya ,ngebreakout resitenya dan trend sudah berubah ,https://drive.google.com/file/d/1Ak2FFiKTpv3k2V7rr9436ExruIgmcsR5/view?usp=drivesdk
47.0,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,0.01,4081.196,4112.08,4037.279,30.884,43.917,1.421998446,WIN,,0,-439.17,0,594.6,0,Tenang,trend masih kuat turun sudah di area entrynya di resitenya ,sesuai dengan metodenya ,https://drive.google.com/file/d/1VOvdaXWc0PBWw33ph0j-Mj4kOx1XT_-d/view?usp=drivesdk
