,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Equity,,,SL Harian,,,Win Rate,,,Profit Factor,,,Expectancy,,,Max DD,,,,,,,,
,,1.000.000,,,500.000,,,"40,6%",,,"2,67",,,79,,,"45,3%",,,,,,,,
,,IDENTIFIKASI SETUP,,,,,,RISK MANAGEMENT,,,,,,,HASIL,,,,STATISTIK AUTO,,,PSIKOLOGI & ANALISIS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,Bln,Tanggal,"Pair
↓","Metode
↓","Arah
↓","TF
↓","Sesi
↓",Lot,Entry,SL,TP,"Risk
(Rp) auto","Reward
(Rp) auto","R:R
Target","W/L
↓","Hasil
(Rp)","R:R
Actual","Pip
+/-","Drawdown
%","Running
Equity","DD dari
Peak","Emosi
↓","Alasan Entry
(sesuai plan?)",Catatan / Pelajaran,"Screenshot
(link/nama file)"
42,Bulan 1,22/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",64714.23,64298.46,66544.60,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,area sudah ngbreakot resisten dan kembali ke support ,broker market meker seharusnya profit nih loss,https://drive.google.com/file/d/1CqfHAHtlaaHHu5n8J43FREoMRo0wp9gL/view?usp=drivesdk
43,Bulan 1,23/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",63888.27,63137.39,65455.29,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,sudah di area momentumnya sesuai dengan metodenya ,jadi fokus ke satu metodenya ajh,
44,Bulan 1,23/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.159.767,00","4.135.635,00","4.215.603,00",24.132,55.836,"2,3x",LOSS,,"0,0x","241320,0","0,0%",595,"0,0%",Tenang,sudah di area momentumnya sesuai dengan metodenya ,SL bukan di area strong entry terlalu atas jadi harus sabar atau taro SL nya di strong ,https://drive.google.com/file/d/1EhYdj58VTKBX8EFt7DidOJ4SKc6T4H7I/view?usp=drivesdk
45,Bulan 1,23/06/26,XAUUSD,Breakout Ranging,SELL,H1,,"0,01","4.122,00","4.152,83","4.061,60",31,60,"2,0x",WIN,,"0,0x","-604,0","0,0%",595,"0,0%",Tenang,area support sudah ngebreakouat  ,sesuai dengan trendnya ,https://drive.google.com/file/d/1wIoGP0kFYdtJTWPBYySbNt4llcacnSYt/view?usp=drivesdk
46,Bulan 1,23/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01","62.487,96","62.908,88","61.821,53",4,7,"1,6x",LOSS,,"0,0x","420,9","0,0%",595,"0,0%",Tenang,mengikutin trendnya ,ngebreakout resitenya dan trend sudah berubah ,https://drive.google.com/file/d/1Ak2FFiKTpv3k2V7rr9436ExruIgmcsR5/view?usp=drivesdk
47,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","4.081,20","4.112,08","4.037,28",31,44,"1,4x",WIN,,"0,0x","-439,2","0,0%",595,"0,0%",Tenang,trend masih kuat turun sudah di area entrynya di resitenya ,sesuai dengan metodenya ,https://drive.google.com/file/d/1VOvdaXWc0PBWw33ph0j-Mj4kOx1XT_-d/view?usp=drivesdk
48,Bulan 1,24/06/26,BTCUSD,Breakout Ranging,BUY,H1,,"0,01","62.803,19","62.371,06","63.619,63",4,8,"1,9x",LOSS,,"0,0x","432,1","0,0%",595,"0,0%",Tenang,sudah ngebrakouat resitenya dan sudah ngambil area supportnya ,SL nya bukan di strong ,https://drive.google.com/file/d/1DaPfhNjFphT7T3L-FlcCJzTNI7GY1V-S/view?usp=drivesdk
49,Bulan 1,24/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",62316.56,61845.60,63528.75,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,sudah di area support strong nya,trend masih kuat turun jangan pernah ngelawan trend ,https://drive.google.com/file/d/1mQjQdtVmnXMyyix_LkzTnGBb04_7dsnx/view?usp=drivesdk
50,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","4.049.593,00","4.059.655,00","4.037.279,00",10.062,12.314,"1,2x",WIN,,"0,0x","-123140,0","0,0%",595,"0,0%",Percaya Diri,sudah di area resisten dan sudah ngbreakot dan kembali ke area resisten nya,sesuai dengan metodenya ,https://drive.google.com/file/d/1VOvdaXWc0PBWw33ph0j-Mj4kOx1XT_-d/view?usp=drivesdk
51,Bulan 1,24/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01",60925.44,60291.09,61567.85,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,sudah di area support nya,jangan pernah ngelawan trend dan loss berati trend masih kuat,https://drive.google.com/file/d/18QE9Q2-NklFJQDrQ3ilBjgQ-Oq4zgzFZ/view?usp=drivesdk
